	kernel1	kernel2	kernel3	kernel4	kernel5	kernel6	kernel7	stride1	stride2	stride3	stride4	stride5	stride6	stride7	cross-validation-avg-r2
239	30	12	38	24	16	36	36	2	3	3	8	7	7	7	0.4921797799975944
240	38	20	30	12	10	10	22	3	2	2	8	7	4	5	0.5288365764757404
241	30	4	36	4	10	26	10	2	3	3	7	5	5	3	0.4967360091107197
242	26	32	8	24	28	14	6	3	2	3	5	5	5	5	0.524141983941091
243	36	16	40	4	34	14	4	3	2	7	6	2	6	2	0.5233875256287547
244	36	36	22	2	20	16	12	4	2	2	2	3	5	3	0.5210551508817756
245	38	34	28	8	40	12	36	3	2	3	3	3	6	5	0.5040077065660119
246	20	12	16	10	12	12	34	3	2	3	7	6	8	4	0.5211363629804857
247	36	6	28	12	40	40	26	3	2	4	3	3	3	3	0.5216873983425655
248	38	36	12	4	36	28	34	3	3	2	4	7	3	2	0.49380137575521144
249	16	30	10	18	14	14	38	2	2	3	4	6	7	5	0.5229408877311851
250	8	36	36	2	12	28	2	3	2	3	6	4	7	7	0.5174211205343571
251	36	30	20	34	14	40	38	4	2	2	6	6	4	4	0.49117466103154567
252	4	10	36	6	30	26	26	3	3	2	5	5	5	7	0.5109019734124325
253	22	28	34	40	24	12	10	3	3	6	7	7	3	4	0.5037184131382975
254	36	2	32	18	12	6	26	4	4	3	5	3	3	5	0.4565407587924194
255	8	4	10	26	32	8	28	3	3	3	5	4	5	7	0.4701468574953778
256	6	14	14	26	18	12	32	2	2	3	7	2	4	7	0.5202542575427909
257	38	36	38	8	14	2	18	3	2	2	4	6	5	5	0.529635472923387
258	16	38	8	12	14	10	32	3	2	3	6	7	4	5	0.49458354767917306
259	22	32	20	6	30	36	32	2	2	3	5	5	8	2	0.525677947256108
260	26	24	36	38	16	4	6	3	2	4	7	8	3	3	0.5244106457597826
261	34	38	8	26	12	16	4	2	3	2	3	6	4	5	0.5193864476635492
262	30	26	38	6	24	34	36	3	2	3	3	4	7	6	0.5079863500801767
263	6	30	4	36	22	34	30	2	3	2	6	6	6	4	0.5086829065911367
264	12	16	26	24	10	8	28	2	2	3	3	8	4	6	0.5023864313455744
265	38	34	16	18	36	6	14	5	2	4	3	7	5	6	0.4774297159890333
266	6	22	38	8	12	10	6	4	3	3	7	4	3	7	0.47295636853430334
267	4	4	40	28	36	4	36	6	2	4	6	8	2	7	0.4522360202440619
268	8	4	36	36	26	4	26	3	4	5	2	3	5	7	0.459732227493072
269	30	8	28	26	10	24	30	2	4	2	8	7	7	8	0.5046572486502637
270	18	34	32	18	40	16	36	3	5	4	5	5	3	6	0.4096576351839209
271	38	14	36	36	34	12	16	5	3	3	8	3	3	4	0.48037158158514814
272	26	38	36	36	40	16	10	4	3	2	4	3	8	8	0.49955084307223463
273	2	8	28	30	36	10	2	5	2	3	3	5	3	3	0.5055119190267923
274	26	28	40	4	14	24	18	4	2	7	5	4	8	3	0.5129239666597161
275	40	36	38	20	14	10	34	3	2	3	5	5	2	4	0.47447137845458454
276	6	10	32	36	20	40	22	2	3	2	2	2	6	7	0.4976814364811847
277	38	12	16	28	6	8	12	2	2	3	3	7	4	5	0.5073450554070315
278	38	34	28	18	40	14	30	2	3	2	4	8	7	4	0.5221397109774217
279	22	30	30	18	2	6	28	4	3	2	6	5	5	4	0.49807297685716656
280	26	32	26	24	26	40	36	2	2	2	7	7	7	6	0.5287118557060556
281	8	28	6	4	2	2	30	2	3	4	3	3	5	2	0.5048142961609958
282	32	6	8	8	36	14	24	3	2	2	6	7	4	6	0.5273407835117498
283	8	4	14	6	14	28	38	3	2	3	4	5	3	6	0.492743526538477
284	22	6	22	36	16	8	20	2	3	3	2	3	2	4	0.508439855835691
285	14	6	8	16	26	4	22	3	3	3	4	7	3	8	0.4861966062813195
286	22	18	2	38	30	20	38	3	8	5	2	6	6	5	0.4324300540763563
287	2	8	40	14	8	34	30	4	2	4	2	2	5	6	0.4897620152555428
288	24	18	20	38	14	18	14	2	2	3	6	8	4	3	0.5046338928585944
289	16	12	6	34	8	4	28	5	8	4	4	5	4	3	0.34628837739855456
290	22	36	4	30	32	34	14	4	2	4	8	6	5	3	0.5139616551093475
291	14	30	32	34	32	2	32	3	2	2	7	3	8	5	0.5180468117409547
292	18	20	18	38	14	20	2	3	2	2	2	4	7	8	0.5262232462058004
293	38	24	30	12	28	20	28	2	2	4	2	2	6	2	0.5245007308898155
294	34	24	8	34	14	18	12	8	4	7	6	4	7	4	0.3709548969754807
295	38	28	36	32	18	12	14	2	4	3	4	4	4	8	0.500733402783921
296	24	22	10	26	12	26	30	2	3	3	7	8	2	7	0.514112786637497
297	38	36	28	8	18	22	24	2	2	3	7	3	2	5	0.5250213901542141
298	4	30	30	12	6	4	16	3	2	2	6	4	3	6	0.5278063804168129
299	10	30	28	8	30	34	28	2	3	3	6	4	7	6	0.5050820729782255
300	20	38	12	30	28	34	6	2	3	2	3	4	7	5	0.5198460922535567
301	18	18	14	28	26	28	30	2	2	4	5	4	7	8	0.489877831868456
302	18	16	4	16	26	20	26	3	2	3	7	4	7	3	0.5205016408679206
303	22	38	12	34	16	12	30	3	2	3	6	5	2	2	0.5006063224439029
304	30	16	30	16	8	16	26	3	4	3	4	3	5	5	0.4653763361698706
305	2	32	16	10	14	24	16	3	4	3	4	6	6	7	0.49148702054674864
306	16	28	34	20	22	6	30	2	3	3	4	6	4	5	0.4969590337229611
307	38	20	38	8	34	16	20	5	2	3	2	6	7	3	0.5038034730793476
308	24	24	6	30	26	4	38	3	3	3	3	5	6	7	0.5043241109917085
309	38	30	30	20	4	24	40	3	3	4	6	8	3	4	0.4722964398581533
310	28	22	20	14	32	8	24	2	2	3	3	5	3	6	0.5257053333476428
311	36	30	34	28	32	10	16	7	2	2	3	3	6	4	0.4929121560744608
312	36	4	14	26	12	12	18	3	3	2	6	4	5	8	0.5105822766262684
313	32	30	34	10	36	6	36	2	2	4	3	6	3	6	0.5255861689399531
314	18	32	14	10	4	18	16	4	2	2	6	7	3	5	0.5106629395008841
315	28	40	16	24	18	6	18	2	2	5	6	7	7	5	0.4765752164090402
316	34	24	32	20	6	26	6	2	3	2	4	7	3	4	0.5141994611283719
317	32	20	6	34	6	24	12	3	2	2	6	4	4	4	0.4940019150803619
318	38	10	22	20	36	24	34	3	4	3	4	7	4	4	0.4895215405106008
319	36	28	6	34	14	14	22	3	2	3	3	7	7	7	0.5239992772465816
320	34	40	34	6	36	38	16	2	3	3	5	4	5	5	0.4988941028809602
321	34	18	24	10	6	34	22	2	2	2	3	7	6	3	0.5084956769007879
322	38	32	30	20	28	30	28	3	2	2	4	6	4	4	0.5232025151025231
